# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  147       5.422669120482e-10       1.387528515939e-13      -5.747725198687e-12       8.905551564828e-16       3.463214460920e-12       6.354699934281e-13      -3.965607141944e-15 
  148       5.464567921322e-10       1.382779493145e-13      -5.758739163986e-12       9.036932822632e-16       3.396457338621e-12       6.259192850159e-13      -3.907395065862e-15 
  149       5.506253773947e-10       1.377463852027e-13      -5.766799683749e-12       9.169558530399e-16       3.331346875888e-12       6.165712291417e-13      -3.848617813034e-15 
  150       5.547715575202e-10       1.371591946277e-13      -5.771864925127e-12       9.303431379975e-16       3.267866084281e-12       6.074236827481e-13      -3.789343680791e-15 
  151       5.588941850516e-10       1.365175114203e-13      -5.773894482595e-12       9.438553817487e-16       3.205991624843e-12       5.984736280505e-13      -3.729642851223e-15 
  152       5.629920746415e-10       1.358225695523e-13      -5.772849416387e-12       9.574928037950e-16       3.145693663794e-12       5.897171524018e-13      -3.669587403705e-15 
  153       5.670640023045e-10       1.350757048169e-13      -5.768692290943e-12       9.712555979861e-16       3.086935728226e-12       5.811494281555e-13      -3.609251327414e-15 
  154       5.711087046681e-10       1.342783565074e-13      -5.761387213342e-12       9.851439319810e-16       3.029674561796e-12       5.727646925301e-13      -3.548710533853e-15 
  155       5.751248782247e-10       1.334320690973e-13      -5.750899871751e-12       9.991579467074e-16       2.973859980413e-12       5.645562274728e-13      -3.488042869371e-15 
  156       5.791111785832e-10       1.325384939199e-13      -5.737197573857e-12       1.013297755822e-15       2.919434727940e-12       5.565163395234e-13      -3.427328127687e-15 
  157       5.830662197203e-10       1.315993908475e-13      -5.720249285314e-12       1.027563445172e-15       2.866334331877e-12       5.486363396781e-13      -3.366648062408e-15 
  158       5.869885732324e-10       1.306166299714e-13      -5.700025668181e-12       1.041955072252e-15       2.814486959062e-12       5.409065232537e-13      -3.306086399552e-15 
  159       5.908767675873e-10       1.295921932812e-13      -5.676499119362e-12       1.056472665669e-15       2.763813271357e-12       5.333161497509e-13      -3.245728850068e-15 
  160       5.947292873753e-10       1.285281763448e-13      -5.649643809046e-12       1.071116224597e-15       2.714226281346e-12       5.258534227188e-13      -3.185663122361e-15 
