# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
1.799500000000000101e-04 1.008295076432935673e+02 1.051196495751522662e+02 1.117224461421535437e+02 1.185263431122107107e+02 1.231739968717242988e+02
1.856000000000000119e-04 1.038744312897831605e+02 1.082941300837196223e+02 1.150963227587624971e+02 1.221056888147711419e+02 1.268936958415356600e+02
1.914200000000000070e-04 1.070109315872950191e+02 1.115640836902890527e+02 1.185716693488033400e+02 1.257926840121454575e+02 1.307252654570556842e+02
1.974300000000000122e-04 1.102414184476980950e+02 1.149320228448079177e+02 1.221511561747347230e+02 1.295901615857760873e+02 1.346716496826450395e+02
2.036200000000000054e-04 1.135695067387959227e+02 1.184017162221973507e+02 1.258387886302448209e+02 1.335023708578267190e+02 1.387372644648448556e+02
2.100100000000000035e-04 1.169976063724575681e+02 1.219756762724048116e+02 1.296372369777923268e+02 1.375321447097398391e+02 1.429250537680160278e+02
2.165900000000000117e-04 1.205317421283554467e+02 1.256601841202987941e+02 1.335531768735240234e+02 1.416865653451216076e+02 1.472423775030602542e+02
2.233899999999999872e-04 1.241707090505551037e+02 1.294539835409056252e+02 1.375852731862106566e+02 1.459642163232508949e+02 1.516877636877972577e+02
2.303999999999999896e-04 1.279060724475150721e+02 1.333482809594093226e+02 1.417241799972466083e+02 1.503551825590789122e+02 1.562509084469643597e+02
2.376199999999999916e-04 1.317739809972703426e+02 1.373807631250212182e+02 1.460099512435128588e+02 1.549019572742427329e+02 1.609759712459728860e+02
2.450800000000000049e-04 1.357382860217858820e+02 1.415137432885300086e+02 1.504025329881283994e+02 1.595620472471054256e+02 1.658187926194115676e+02
2.527599999999999856e-04 1.398351361990967803e+02 1.457849081991469689e+02 1.549419791679742673e+02 1.643779456993038934e+02 1.708235320326916451e+02
2.606899999999999994e-04 1.440524819698579790e+02 1.501816956071350546e+02 1.596149384707567833e+02 1.693354882236258447e+02 1.759754696640093243e+02
2.688699999999999922e-04 1.483903233340695351e+02 1.547041055124941806e+02 1.644214108964758907e+02 1.744346748200713080e+02 1.812746055133647189e+02
2.773100000000000131e-04 1.528607098510763933e+02 1.593647001649615049e+02 1.693747477574253537e+02 1.796896698958526031e+02 1.867356594025614527e+02
2.860000000000000129e-04 1.574636415208786389e+02 1.641634795645370559e+02 1.744749490536051439e+02 1.851004734509696732e+02 1.923586313315996676e+02
2.949800000000000252e-04 1.622111679028212734e+02 1.691130059609579632e+02 1.797353660973089120e+02 1.906812498926349804e+02 1.981582411222830729e+02
3.042300000000000061e-04 1.670912394375592385e+02 1.742007171044869835e+02 1.851426475762429220e+02 1.964178348136361762e+02 2.041197689528078172e+02
3.137699999999999994e-04 1.721279552437826226e+02 1.794517374945984329e+02 1.907234961149945605e+02 2.023385570283977586e+02 2.102726544667815176e+02
3.236199999999999949e-04 1.773092657621464241e+02 1.848535048815551818e+02 1.964645604012702336e+02 2.084292521297076348e+02 2.166021778424004935e+02
3.337699999999999977e-04 1.826351709926505578e+02 1.904060192653572585e+02 2.023658404350698845e+02 2.146899201175656628e+02 2.231083390796645176e+02
3.442399999999999974e-04 1.881297700539851689e+02 1.961344051454788655e+02 2.084540388409808145e+02 2.211488898063965394e+02 2.298205778221813205e+02
3.550399999999999888e-04 1.937810133868051707e+02 2.020261002721829016e+02 2.147158043067093445e+02 2.277919967889879729e+02 2.367241742481470794e+02
3.661700000000000263e-04 1.996130001098007085e+02 2.081062291449434838e+02 2.211778394568428894e+02 2.346475698797646317e+02 2.438485680011692978e+02
3.776599999999999857e-04 2.056016311042816085e+02 2.143496672642864951e+02 2.278134416667940343e+02 2.416872802643017621e+02 2.511643194376404153e+02
3.895099999999999756e-04 2.117710054889380160e+02 2.207815391296862231e+02 2.346493135611502225e+02 2.489394567570242316e+02 2.587008682011680776e+02
4.017199999999999959e-04 2.181331728231149611e+02 2.274144069908796268e+02 2.416988064522049058e+02 2.564182637651441610e+02 2.664729341135558798e+02
4.143300000000000260e-04 2.246760835474672717e+02 2.342357085981296336e+02 2.489485690276646039e+02 2.641095368814494009e+02 2.744657973530001982e+02
