# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
  116       4.239910903389e-10       1.303962633768e-13      -4.405803056989e-12       6.287796848391e-16       7.306341758894e-12       1.116274094210e-12      -6.257629378472e-15       5.582474350642e-03       5.312852996236e-08 
  117       4.284107594152e-10       1.317940103867e-13      -4.484856971366e-12       6.399772225382e-16       7.138677473956e-12       1.096023935729e-12      -6.194113730018e-15       5.642855511890e-03       5.277906847608e-08 
  118       4.328448608117e-10       1.331429551481e-13      -4.562792104596e-12       6.512902130417e-16       6.975933092023e-12       1.076283563726e-12      -6.130188479495e-15       5.703769005101e-03       5.243905113867e-08 
  119       4.372925704706e-10       1.344417417863e-13      -4.639535989942e-12       6.627191444910e-16       6.818003955557e-12       1.057042799888e-12      -6.065839160655e-15       5.765203639065e-03       5.210822875788e-08 
  120       4.417529632161e-10       1.356890479598e-13      -4.715016002379e-12       6.742645002370e-16       6.664751360258e-12       1.038287588543e-12      -6.001043733244e-15       5.827146118625e-03       5.178625730362e-08 
  121       4.462250097446e-10       1.368835862524e-13      -4.789159388657e-12       6.859267585506e-16       6.516001598602e-12       1.019999885684e-12      -5.935772344594e-15       5.889580984172e-03       5.147269513320e-08 
  122       4.507075736132e-10       1.380241055652e-13      -4.861893297362e-12       6.977063923348e-16       6.371545003382e-12       1.002157548008e-12      -5.869987091209e-15       5.952490551159e-03       5.116700021648e-08 
  123       4.551994082298e-10       1.391093925084e-13      -4.933144808982e-12       7.096038688357e-16       6.231134991250e-12       9.847342219522e-13      -5.803641780353e-15       6.015854849596e-03       5.086852736110e-08 
  124       4.596992629005e-10       1.401382894452e-13      -5.002841544566e-12       7.216197467324e-16       6.094534810943e-12       9.677046787191e-13      -5.736710151287e-15       6.079651956036e-03       5.057664376388e-08 
  125       4.642062210670e-10       1.411097479877e-13      -5.070913506258e-12       7.337549805495e-16       5.961665856327e-12       9.510617440228e-13      -5.669274688022e-15       6.143859161137e-03       5.029109648257e-08 
  126       4.687193951258e-10       1.420227842518e-13      -5.137291504221e-12       7.460106505604e-16       5.832474534101e-12       9.348010978382e-13      -5.601447527474e-15       6.208451821736e-03       5.001168181346e-08 
  127       4.732378186804e-10       1.428764642565e-13      -5.201906631006e-12       7.583878689774e-16       5.706885492369e-12       9.189159331685e-13      -5.533342888777e-15       6.273402923429e-03       4.973812887760e-08 
  128       4.777604443743e-10       1.436699054447e-13      -5.264690296101e-12       7.708877804171e-16       5.584801033510e-12       9.033968872413e-13      -5.465077055203e-15       6.338683023111e-03       4.947009776208e-08 
  129       4.822861417249e-10       1.444022782043e-13      -5.325574260467e-12       7.835115623659e-16       5.466100527038e-12       8.882319727049e-13      -5.396768356077e-15       6.404260191521e-03       4.920717766130e-08 
  130       4.868136949574e-10       1.450728073891e-13      -5.384490671084e-12       7.962604256445e-16       5.350639822478e-12       8.734065088247e-13      -5.328537148707e-15       6.470099955781e-03       4.894888501825e-08 
