# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]    
  327       4.313913395484e+00      -5.431269458115e-08       2.483864159867e+00 
  328       4.321908148440e+00      -6.406787532974e-08       2.489456294795e+00 
  329       4.329886740777e+00      -7.260465761451e-08       2.495037207761e+00 
  330       4.337849239696e+00      -7.940022753320e-08       2.500606735977e+00 
  331       4.345795696484e+00      -8.391952664603e-08       2.506164705910e+00 
  332       4.353726146286e+00      -8.561516060822e-08       2.511710933147e+00 
  333       4.361640626924e+00      -8.405855281480e-08       2.517245304178e+00 
  334       4.369539236724e+00      -7.933989413677e-08       2.522768025927e+00 
  335       4.377422078763e+00      -7.168541585471e-08       2.528279386821e+00 
  336       4.385289241843e+00      -6.132776431881e-08       2.533779675816e+00 
  337       4.393140800283e+00      -4.850605118455e-08       2.539269182357e+00 
  338       4.400976813717e+00      -3.346590364859e-08       2.544748196331e+00 
  339       4.408797326884e+00      -1.645951468451e-08       2.550217008030e+00 
  340       4.416602369425e+00       2.254306721398e-09       2.555675908104e+00 
  341       4.424391973743e+00       2.228557991632e-08       2.561125184251e+00 
  342       4.432166229862e+00       4.273374419473e-08       2.566565111216e+00 
  343       4.439925232495e+00       6.255084384751e-08       2.571995960279e+00 
  344       4.447669063003e+00       8.066440116383e-08       2.577418002449e+00 
  345       4.455397789203e+00       9.597723808364e-08       2.582831508411e+00 
  346       4.463111465181e+00       1.073672978501e-07       2.588236748487e+00 
  347       4.470810131107e+00       1.136874666620e-07       2.593633992583e+00 
  348       4.478493813044e+00       1.137653953263e-07       2.599023510148e+00 
  349       4.486162541070e+00       1.067951218804e-07       2.604405521830e+00 
  350       4.493816404851e+00       9.353025837680e-08       2.609780052324e+00 
  351       4.501455500012e+00       7.514001672157e-08       2.615147071325e+00 
  352       4.509079909862e+00       5.282208557155e-08       2.620506541175e+00 
  353       4.516689705228e+00       2.780283689172e-08       2.625858416772e+00 
  354       4.524284944285e+00       1.337532512399e-09       2.631202645478e+00 
  355       4.531865672388e+00      -2.528946931358e-08       2.636539167022e+00 
  356       4.539431921896e+00      -5.076450735367e-08       2.641867913412e+00 
  357       4.546983712011e+00      -7.374441083835e-08       2.647188808835e+00 
  358       4.554521067391e+00      -9.307996143440e-08       2.652501767597e+00 
  359       4.562044075185e+00      -1.084966886378e-07       2.657806688017e+00 
  360       4.569552829980e+00      -1.199412452304e-07       2.663103458103e+00 
  361       4.577047415064e+00      -1.273602296775e-07       2.668391957401e+00 
  362       4.584527902279e+00      -1.307001884083e-07       2.673672056908e+00 
  363       4.591994351865e+00      -1.299076180964e-07       2.678943618972e+00 
  364       4.599446812310e+00      -1.249289679400e-07       2.684206497196e+00 
  365       4.606885320199e+00      -1.157106419425e-07       2.689460536347e+00 
  366       4.614309900057e+00      -1.021990011926e-07       2.694705572258e+00 
