# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   61       1.155480309091e+00       8.273263308695e-03      -2.996353991592e-08      -6.114473508490e-09       9.116447560367e-10       1.047890633550e+00       2.515399453879e-08       5.425662474339e-09      -7.790684359329e-10       4.881544901238e-01       1.952366054652e-09       5.614571284887e-10       1.089313624369e-01       1.154815455252e-08       2.675185564546e-02 
   62       1.172871701371e+00       7.466542705872e-03      -1.723011331024e-08       3.637563190022e-09       3.068054415810e-10       1.064894884863e+00       1.203070064304e-08      -2.336340887184e-09       2.263100204941e-10       4.990711177127e-01      -2.916581132028e-09      -1.063317232126e-08       1.118499964545e-01       7.975318213451e-09       2.751396134263e-02 
   63       1.190643594554e+00       6.246203558066e-03      -3.337034199555e-08      -7.759455513495e-09       1.084802466596e-09       1.081297000913e+00       2.557738976426e-08       7.278313533587e-09      -8.225683418863e-10       5.100546713024e-01      -1.015611058142e-09      -2.987956869776e-10       1.147957973508e-01       2.970714644603e-09       2.828253216109e-02 
   64       1.208895312955e+00       4.728803725012e-03      -1.859303884868e-08      -9.432593959614e-10       3.823471802602e-10       1.097219859494e+00       1.360330081881e-08       4.241724199326e-09       1.624672572936e-10       5.210714711791e-01       5.468296091557e-10       2.680383056588e-08       1.177679553889e-01       1.485287916069e-08       2.905749538715e-02 
   65       1.227658541077e+00       3.053352644232e-03      -3.686729740692e-08       2.582232803914e-09       7.201447767062e-10       1.112819812543e+00       2.628083085016e-08       1.974250158468e-10      -5.539151525444e-10       5.320857472396e-01      -3.372687486384e-09       8.495485180707e-09       1.207655203345e-01       1.892683274689e-09       2.983878102620e-02 
   66       1.246896777530e+00       1.367006846079e-03      -2.109012499530e-08      -7.161932054625e-09       5.550615782818e-10       1.128270221207e+00       1.583039448758e-08       1.273212637988e-08       1.327732157671e-10       5.430607830363e-01       2.887380224628e-09      -2.846511519756e-08       1.237874541753e-01      -7.071411484166e-09       3.062631660297e-02 
   67       1.266513113332e+00      -1.886883603129e-04      -3.951935563673e-08       9.843140727797e-09       1.171784126024e-09       1.143743080444e+00       2.868983685193e-08      -4.572899394168e-09      -6.377660670890e-10       5.539601680012e-01      -3.382765812425e-09      -1.532768178975e-08       1.268326195587e-01       3.299780918716e-09       3.142002975367e-02 
   68       1.286363030335e+00      -1.490311511568e-03      -2.374170803801e-08       6.212742446280e-10       5.295702175212e-10       1.159393279790e+00       1.638048243669e-08       9.523255027918e-09       2.529763827978e-10       5.647490561514e-01       1.133409371794e-09       1.839370012929e-08       1.298997557387e-01      -4.823202180709e-09       3.221989857611e-02 
   69       1.306272825179e+00      -2.442560538253e-03      -4.150623663370e-08       3.579010610741e-09       9.769956195339e-10       1.175344445106e+00       3.266780940070e-08       7.862213832825e-10      -8.110311723595e-10       5.753954283420e-01       1.516939607532e-10       1.513268467447e-08       1.329875464728e-01      -1.029602471377e-08       3.302585749303e-02 
   70       1.326059353200e+00      -2.985854960009e-03      -2.452091671593e-08       1.566544551254e-08       1.709993837684e-10       1.191679832750e+00       1.657501202897e-08      -2.961095324493e-09       3.332906416439e-10       5.858713026608e-01      -2.844754450528e-09      -8.801060405674e-09       1.360945312487e-01      -1.815805592058e-08       3.383786385528e-02 
   71       1.345551840829e+00      -3.100020131653e-03      -4.335467415298e-08       8.772647233658e-10       1.224878226384e-09       1.208436227490e+00       3.570285965638e-08       5.151869108337e-09      -6.681468112716e-10       5.961537786460e-01       4.704300259530e-09      -1.078562636190e-08       1.392192192497e-01      -3.584258288053e-09       3.465592197170e-02 
   72       1.364609711223e+00      -2.804785608894e-03      -2.388449085221e-08       1.309051411827e-08       3.863244638765e-10       1.225603670529e+00       1.867848869149e-08      -6.662845073576e-09       5.100311165969e-10       6.062259778412e-01      -5.379214848042e-09       1.857167093948e-09       1.423599964130e-01      -5.550188804569e-09       3.547997353552e-02 
   73       1.383138038726e+00      -2.156301282068e-03      -4.461525742090e-08       1.293273718376e-08       9.973531943653e-10       1.243127749238e+00       3.670856520231e-08      -5.488525118831e-09      -1.055582511881e-09       6.160776842496e-01       5.002955983299e-09       5.432915247608e-09       1.455152037313e-01      -2.004348834863e-08       3.631001678636e-02 
   74       1.401095483273e+00      -1.240327647562e-03      -2.385147870479e-08      -1.840131708301e-09       5.312992077744e-10       1.260917228774e+00       2.163193362861e-08       1.943031957975e-09      -8.667339718132e-11       6.257057930375e-01      -2.909596854452e-09      -6.165723470829e-11       1.486831223382e-01      -2.655206729079e-09       3.714604248785e-02 
   75       1.418496860418e+00      -1.627189784050e-04      -4.313128306731e-08       1.528521852158e-08       1.133542691828e-09       1.278853055893e+00       3.926172144165e-08      -1.694427430368e-08      -9.235428063251e-10       6.351144324869e-01       5.310709609978e-10      -2.255260870732e-09       1.518619520009e-01       1.983388942461e-09       3.798805149327e-02 
   76       1.435407468087e+00       9.615786787979e-04      -2.296183586920e-08      -2.950733474602e-10       6.669929629326e-10       1.296800985861e+00       2.288020499688e-08       2.503352428896e-09       1.927779876485e-10       6.443148095825e-01       2.810057922247e-09      -1.017551831567e-09       1.550499089484e-01       9.247248494322e-09       3.883601205778e-02 
   77       1.451933791140e+00       2.020283071887e-03      -4.276826573091e-08      -4.830102031931e-09       1.496502763265e-09       1.314623845601e+00       4.377425529870e-08      -8.185807831202e-09      -1.065136494495e-09       6.533247697342e-01      -3.923790009878e-09       8.585777879356e-10       1.582451071798e-01      -1.229092675066e-09       3.968996544305e-02 
   78       1.468208685327e+00       2.912237755197e-03      -5.050398438056e-08      -8.866676405710e-09       1.798508311750e-09       1.332192835648e+00       5.249914602342e-08      -6.457757702344e-09      -1.612097819602e-09       6.621680314423e-01      -5.762236246527e-09       7.358620260161e-10       1.614457063881e-01       7.276788460475e-09       4.054989792005e-02 
