# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   50       9.414247928773e-01      -2.778740608907e-09       5.242152238578e-09      -3.083500132630e-10      -8.851838034627e-09       2.032387867879e-01      -4.189042725935e-10       2.149005604096e-10       1.463599923486e-08       7.876258024114e-02      -7.572456179508e-10       5.347927107159e-09       4.031769647069e-02      -5.545977301679e-08       2.371021507670e-02 
   51       9.637822641966e-01      -4.800203452047e-09      -2.743777978940e-10       1.694427953380e-10      -1.613255792117e-09       2.094557322256e-01      -2.568784585234e-09       2.756791240725e-10       1.080670860725e-08       8.135515737552e-02      -3.245385702322e-09      -1.595628484131e-09       4.169526110031e-02      -5.110342111275e-08       2.455519688089e-02 
   52       9.858765033899e-01       3.069763424246e-09       8.988677462466e-09      -4.086129950929e-10      -1.362736817665e-09       2.156672162901e-01       7.078198348461e-10       7.990945108502e-10       2.306864032571e-09       8.397794469803e-02      -2.053657163081e-09       2.955709484888e-10       4.308680866597e-02      -4.404265869494e-08       2.540950107850e-02 
   53       1.007463117109e+00       5.934034534562e-09      -1.143479662457e-09      -1.318122334390e-10       3.225558205551e-10       2.218648644277e-01      -3.644708600302e-09       5.959518842299e-11       1.596397066889e-08       8.663104175910e-02      -2.054762509163e-09       3.479332070186e-09       4.449222143885e-02      -3.458934071497e-08       2.627295333790e-02 
   54       1.028351160227e+00       3.294139869191e-09       6.167010495314e-09      -2.433015653135e-10       8.270437323891e-09       2.280408593721e-01       9.765197997987e-10       5.748828368511e-10       3.248208458094e-09       8.931446318861e-02       1.238434159210e-11      -5.429408530334e-09       4.591140686337e-02      -3.529618922828e-08       2.714532994309e-02 
   55       1.048425830500e+00      -5.683404295319e-09       3.069244024133e-09      -2.413967402288e-10       1.956656909575e-09       2.341880882405e-01      -2.723817685478e-09       2.019379613271e-10      -2.214428037713e-09       9.202820235296e-02       4.154688918383e-10       4.546073479757e-09       4.734429952582e-02      -2.487973527896e-08       2.802647662442e-02 
   56       1.067660476341e+00      -3.887459985401e-09      -1.648354212155e-09      -4.496880672794e-10       1.247910403779e-08       2.403003120632e-01      -6.353603234087e-10      -3.560757754193e-10       1.074039720819e-08       9.477215665563e-02      -1.009051520274e-09      -3.679535266269e-09       4.879085846283e-02      -2.489901584253e-08       2.891622715715e-02 
   57       1.086117217774e+00       2.603640450093e-10       6.071359043087e-09       1.865451495469e-10       8.616424669208e-10       2.463722936772e-01      -1.087821480001e-09       5.253654484312e-10      -1.027473613738e-08       9.754616909716e-02       7.560287220766e-10      -2.817579140010e-09       5.025105915945e-02      -2.183511979860e-08       2.981441556777e-02 
   58       1.103935568500e+00       5.572805261500e-09      -5.751323014237e-09      -3.865806283918e-10       5.632906011310e-09       2.523998976377e-01      -2.024842406977e-09      -2.544597709321e-10      -6.808580406600e-09       1.003499960443e-01      -1.088465947248e-09       2.451142236495e-09       5.172490145468e-02      -1.451434306680e-08       3.072094192100e-02 
   59       1.121312059262e+00       2.253814152116e-09       1.153886327744e-09       3.895675962091e-10      -1.657799299521e-09       2.583802131290e-01       6.837488992338e-10      -8.658874167905e-10       1.247231892350e-09       1.031832961336e-01       7.519288562981e-10      -8.424820049877e-09       5.321240152307e-02      -1.871607065303e-08       3.163564642327e-02 
