#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.140790e-06 1.075461e+02 1.075465e+02 1.112657e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.387577e-09 6.501942e-08 2.192948e-07 -8.342651e-13 4.793071e+03 4.350297e+06 9.206782e+05 -2.391877e-03 -5.150790e-02 -2.321838e-01 -1.145495e-01 3.050306e-02 8.525016e-01 4.161264e-03 2.874890e-07 9.556339e-07 -1.662604e-07
1.144210e-06 1.075461e+02 1.075465e+02 1.117591e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.416535e-09 6.528549e-08 2.198514e-07 -8.394828e-13 4.786695e+03 4.338732e+06 9.182382e+05 -2.395489e-03 -5.159037e-02 -2.325539e-01 -1.147403e-01 3.055394e-02 8.527626e-01 4.161294e-03 2.887093e-07 9.587738e-07 -1.668181e-07
1.147641e-06 1.075461e+02 1.075465e+02 1.122548e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.445625e-09 6.555265e-08 2.204093e-07 -8.447331e-13 4.780327e+03 4.327199e+06 9.158047e+05 -2.399107e-03 -5.167297e-02 -2.329246e-01 -1.149315e-01 3.060490e-02 8.530237e-01 4.161325e-03 2.899348e-07 9.619239e-07 -1.673775e-07
1.151082e-06 1.075461e+02 1.075465e+02 1.127526e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.474846e-09 6.582091e-08 2.209686e-07 -8.500163e-13 4.773968e+03 4.315696e+06 9.133777e+05 -2.402730e-03 -5.175571e-02 -2.332959e-01 -1.151229e-01 3.065595e-02 8.532848e-01 4.161355e-03 2.911655e-07 9.650845e-07 -1.679389e-07
1.154533e-06 1.075461e+02 1.075465e+02 1.132527e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.504200e-09 6.609026e-08 2.215292e-07 -8.553325e-13 4.767617e+03 4.304223e+06 9.109571e+05 -2.406359e-03 -5.183857e-02 -2.336678e-01 -1.153147e-01 3.070709e-02 8.535461e-01 4.161385e-03 2.924015e-07 9.682554e-07 -1.685022e-07
1.157994e-06 1.075461e+02 1.075465e+02 1.137550e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.533687e-09 6.636071e-08 2.220912e-07 -8.606820e-13 4.761275e+03 4.292781e+06 9.085429e+05 -2.409993e-03 -5.192157e-02 -2.340402e-01 -1.155067e-01 3.075831e-02 8.538074e-01 4.161415e-03 2.936427e-07 9.714367e-07 -1.690673e-07
1.161466e-06 1.075461e+02 1.075465e+02 1.142595e-09 3.755308e+00 1.947944e+01 3.755970e+00 1.948244e+01 6.563307e-09 6.663227e-08 2.226546e-07 -8.660650e-13 4.754941e+03 4.281370e+06 9.061352e+05 -2.413633e-03 -5.200470e-02 -2.344133e-01 -1.156991e-01 3.080961e-02 8.540688e-01 4.161445e-03 2.948891e-07 9.746285e-07 -1.696343e-07
1.164948e-06 1.075461e+02 1.075465e+02 1.147662e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.593062e-09 6.690494e-08 2.232194e-07 -8.714816e-13 4.748615e+03 4.269988e+06 9.037338e+05 -2.417278e-03 -5.208797e-02 -2.347869e-01 -1.158918e-01 3.086100e-02 8.543303e-01 4.161475e-03 2.961408e-07 9.778307e-07 -1.702033e-07
1.168441e-06 1.075461e+02 1.075465e+02 1.152752e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.622952e-09 6.717873e-08 2.237856e-07 -8.769320e-13 4.742298e+03 4.258637e+06 9.013387e+05 -2.420929e-03 -5.217137e-02 -2.351612e-01 -1.160849e-01 3.091248e-02 8.545918e-01 4.161505e-03 2.973979e-07 9.810435e-07 -1.707741e-07
1.171944e-06 1.075461e+02 1.075465e+02 1.157864e-09 3.755308e+00 1.947944e+01 3.755969e+00 1.948244e+01 6.652977e-09 6.745364e-08 2.243531e-07 -8.824166e-13 4.735989e+03 4.247316e+06 8.989500e+05 -2.424585e-03 -5.225490e-02 -2.355360e-01 -1.162782e-01 3.096404e-02 8.548535e-01 4.161536e-03 2.986603e-07 9.842669e-07 -1.713469e-07
